arch,symbol,dll,export,lib
arm,AETraceOutputDebugString,MMDevAPI.DLL,13,mmdevapi.lib
arm,AbortSystemShutdownA,ADVAPI32.dll,AbortSystemShutdownA,AdvAPI32.Lib
arm,AbortSystemShutdownW,ADVAPI32.dll,AbortSystemShutdownW,AdvAPI32.Lib
arm,AccessCheck,ADVAPI32.dll,AccessCheck,AdvAPI32.Lib
arm,AccessCheckAndAuditAlarmA,ADVAPI32.dll,AccessCheckAndAuditAlarmA,AdvAPI32.Lib
arm,AccessCheckAndAuditAlarmW,ADVAPI32.dll,AccessCheckAndAuditAlarmW,AdvAPI32.Lib
arm,AccessCheckByType,ADVAPI32.dll,AccessCheckByType,AdvAPI32.Lib
arm,AccessCheckByTypeAndAuditAlarmA,ADVAPI32.dll,AccessCheckByTypeAndAuditAlarmA,AdvAPI32.Lib
arm,AccessCheckByTypeAndAuditAlarmW,ADVAPI32.dll,AccessCheckByTypeAndAuditAlarmW,AdvAPI32.Lib
arm,AccessCheckByTypeResultList,ADVAPI32.dll,AccessCheckByTypeResultList,AdvAPI32.Lib
arm,AccessCheckByTypeResultListAndAuditAlarmA,ADVAPI32.dll,AccessCheckByTypeResultListAndAuditAlarmA,AdvAPI32.Lib
arm,AccessCheckByTypeResultListAndAuditAlarmByHandleA,ADVAPI32.dll,AccessCheckByTypeResultListAndAuditAlarmByHandleA,AdvAPI32.Lib
arm,AccessCheckByTypeResultListAndAuditAlarmByHandleW,ADVAPI32.dll,AccessCheckByTypeResultListAndAuditAlarmByHandleW,AdvAPI32.Lib
arm,AccessCheckByTypeResultListAndAuditAlarmW,ADVAPI32.dll,AccessCheckByTypeResultListAndAuditAlarmW,AdvAPI32.Lib
arm,AcquireSRWLockExclusive,KERNEL32.dll,AcquireSRWLockExclusive,kernel32.Lib
arm,AcquireSRWLockShared,KERNEL32.dll,AcquireSRWLockShared,kernel32.Lib
arm,ActivateActCtx,KERNEL32.dll,ActivateActCtx,kernel32.Lib
arm,ActivateAudioInterfaceAsync,MMDevAPI.DLL,17,mmdevapi.lib
arm,ActivateKeyboardLayout,USER32.dll,ActivateKeyboardLayout,User32.Lib
arm,AddAccessAllowedAce,ADVAPI32.dll,AddAccessAllowedAce,AdvAPI32.Lib
arm,AddAccessAllowedAceEx,ADVAPI32.dll,AddAccessAllowedAceEx,AdvAPI32.Lib
arm,AddAccessAllowedObjectAce,ADVAPI32.dll,AddAccessAllowedObjectAce,AdvAPI32.Lib
arm,AddAccessDeniedAce,ADVAPI32.dll,AddAccessDeniedAce,AdvAPI32.Lib
