arch,symbol,dll,export,lib
arm,AddAccessDeniedAceEx,ADVAPI32.dll,AddAccessDeniedAceEx,AdvAPI32.Lib
arm,AddAccessDeniedObjectAce,ADVAPI32.dll,AddAccessDeniedObjectAce,AdvAPI32.Lib
arm,AddAce,ADVAPI32.dll,AddAce,AdvAPI32.Lib
arm,AddAtomA,KERNEL32.dll,AddAtomA,kernel32.Lib
arm,AddAtomW,KERNEL32.dll,AddAtomW,kernel32.Lib
arm,AddAuditAccessAce,ADVAPI32.dll,AddAuditAccessAce,AdvAPI32.Lib
arm,AddAuditAccessAceEx,ADVAPI32.dll,AddAuditAccessAceEx,AdvAPI32.Lib
arm,AddAuditAccessObjectAce,ADVAPI32.dll,AddAuditAccessObjectAce,AdvAPI32.Lib
arm,AddClipboardFormatListener,USER32.dll,AddClipboardFormatListener,User32.Lib
arm,AddConditionalAce,ADVAPI32.dll,AddConditionalAce,AdvAPI32.Lib
arm,AddConsoleAliasA,KERNEL32.dll,AddConsoleAliasA,kernel32.Lib
arm,AddConsoleAliasW,KERNEL32.dll,AddConsoleAliasW,kernel32.Lib
arm,AddDllDirectory,KERNEL32.dll,AddDllDirectory,kernel32.Lib
arm,AddIntegrityLabelToBoundaryDescriptor,KERNEL32.dll,AddIntegrityLabelToBoundaryDescriptor,kernel32.Lib
arm,AddLocalAlternateComputerNameA,KERNEL32.dll,AddLocalAlternateComputerNameA,kernel32.Lib
arm,AddLocalAlternateComputerNameW,KERNEL32.dll,AddLocalAlternateComputerNameW,kernel32.Lib
arm,AddMandatoryAce,ADVAPI32.dll,AddMandatoryAce,AdvAPI32.Lib
arm,AddRefActCtx,KERNEL32.dll,AddRefActCtx,kernel32.Lib
arm,AddResourceAttributeAce,KERNEL32.dll,AddResourceAttributeAce,kernel32.Lib
arm,AddSIDToBoundaryDescriptor,KERNEL32.dll,AddSIDToBoundaryDescriptor,kernel32.Lib
arm,AddScopedPolicyIDAce,KERNEL32.dll,AddScopedPolicyIDAce,kernel32.Lib
arm,AddSecureMemoryCacheCallback,KERNEL32.dll,AddSecureMemoryCacheCallback,kernel32.Lib
arm,AddUsersToEncryptedFile,ADVAPI32.dll,AddUsersToEncryptedFile,AdvAPI32.Lib
arm,AddUsersToEncryptedFileEx,ADVAPI32.dll,AddUsersToEncryptedFileEx,AdvAPI32.Lib
arm,AddVectoredContinueHandler,KERNEL32.dll,AddVectoredContinueHandler,kernel32.Lib
arm,AddVectoredExceptionHandler,KERNEL32.dll,AddVectoredExceptionHandler,kernel32.Lib
arm,AdjustTokenGroups,ADVAPI32.dll,AdjustTokenGroups,AdvAPI32.Lib
arm,AdjustTokenPrivileges,ADVAPI32.dll,AdjustTokenPrivileges,AdvAPI32.Lib
arm,AdjustWindowRect,USER32.dll,AdjustWindowRect,User32.Lib
arm,AdjustWindowRectEx,USER32.dll,AdjustWindowRectEx,User32.Lib
arm,AllocConsole,KERNEL32.dll,AllocConsole,kernel32.Lib
arm,AllocateAndInitializeSid,ADVAPI32.dll,AllocateAndInitializeSid,AdvAPI32.Lib
arm,AllocateLocallyUniqueId,ADVAPI32.dll,AllocateLocallyUniqueId,AdvAPI32.Lib
arm,AllocateUserPhysicalPages,KERNEL32.dll,AllocateUserPhysicalPages,kernel32.Lib
arm,AllocateUserPhysicalPagesNuma,KERNEL32.dll,AllocateUserPhysicalPagesNuma,kernel32.Lib
arm,AllowSetForegroundWindow,USER32.dll,AllowSetForegroundWindow,User32.Lib
arm,AnimateWindow,USER32.dll,AnimateWindow,User32.Lib
arm,AnyPopup,USER32.dll,AnyPopup,User32.Lib
arm,AppendMenuA,USER32.dll,AppendMenuA,User32.Lib
arm,AppendMenuW,USER32.dll,AppendMenuW,User32.Lib
arm,AppendPropVariant,MF.dll,AppendPropVariant,Mf.lib
arm,AppendPropVariant,MFCORE.dll,AppendPropVariant,Mfcore.lib
arm,ApplicationRecoveryFinished,KERNEL32.dll,ApplicationRecoveryFinished,kernel32.Lib
arm,ApplicationRecoveryInProgress,KERNEL32.dll,ApplicationRecoveryInProgress,kernel32.Lib
arm,AreAllAccessesGranted,ADVAPI32.dll,AreAllAccessesGranted,AdvAPI32.Lib
arm,AreAnyAccessesGranted,ADVAPI32.dll,AreAnyAccessesGranted,AdvAPI32.Lib
arm,AreFileApisANSI,KERNEL32.dll,AreFileApisANSI,kernel32.Lib
arm,ArrangeIconicWindows,USER32.dll,ArrangeIconicWindows,User32.Lib
arm,AssignProcessToJobObject,KERNEL32.dll,AssignProcessToJobObject,kernel32.Lib
arm,AttachConsole,KERNEL32.dll,AttachConsole,kernel32.Lib
arm,AttachThreadInput,USER32.dll,AttachThreadInput,User32.Lib
arm,AuditComputeEffectivePolicyBySid,ADVAPI32.dll,AuditComputeEffectivePolicyBySid,AdvAPI32.Lib
arm,AuditComputeEffectivePolicyByToken,ADVAPI32.dll,AuditComputeEffectivePolicyByToken,AdvAPI32.Lib
arm,AuditEnumerateCategories,ADVAPI32.dll,AuditEnumerateCategories,AdvAPI32.Lib
arm,AuditEnumeratePerUserPolicy,ADVAPI32.dll,AuditEnumeratePerUserPolicy,AdvAPI32.Lib
arm,AuditEnumerateSubCategories,ADVAPI32.dll,AuditEnumerateSubCategories,AdvAPI32.Lib
arm,AuditFree,ADVAPI32.dll,AuditFree,AdvAPI32.Lib
arm,AuditLookupCategoryGuidFromCategoryId,ADVAPI32.dll,AuditLookupCategoryGuidFromCategoryId,AdvAPI32.Lib
arm,AuditLookupCategoryIdFromCategoryGuid,ADVAPI32.dll,AuditLookupCategoryIdFromCategoryGuid,AdvAPI32.Lib
arm,AuditLookupCategoryNameA,ADVAPI32.dll,AuditLookupCategoryNameA,AdvAPI32.Lib
arm,AuditLookupCategoryNameW,ADVAPI32.dll,AuditLookupCategoryNameW,AdvAPI32.Lib
arm,AuditLookupSubCategoryNameA,ADVAPI32.dll,AuditLookupSubCategoryNameA,AdvAPI32.Lib
arm,AuditLookupSubCategoryNameW,ADVAPI32.dll,AuditLookupSubCategoryNameW,AdvAPI32.Lib
arm,AuditQueryGlobalSaclA,ADVAPI32.dll,AuditQueryGlobalSaclA,AdvAPI32.Lib
arm,AuditQueryGlobalSaclW,ADVAPI32.dll,AuditQueryGlobalSaclW,AdvAPI32.Lib
arm,AuditQueryPerUserPolicy,ADVAPI32.dll,AuditQueryPerUserPolicy,AdvAPI32.Lib
arm,AuditQuerySecurity,ADVAPI32.dll,AuditQuerySecurity,AdvAPI32.Lib
arm,AuditQuerySystemPolicy,ADVAPI32.dll,AuditQuerySystemPolicy,AdvAPI32.Lib
arm,AuditSetGlobalSaclA,ADVAPI32.dll,AuditSetGlobalSaclA,AdvAPI32.Lib
arm,AuditSetGlobalSaclW,ADVAPI32.dll,AuditSetGlobalSaclW,AdvAPI32.Lib
arm,AuditSetPerUserPolicy,ADVAPI32.dll,AuditSetPerUserPolicy,AdvAPI32.Lib
arm,AuditSetSecurity,ADVAPI32.dll,AuditSetSecurity,AdvAPI32.Lib
arm,AuditSetSystemPolicy,ADVAPI32.dll,AuditSetSystemPolicy,AdvAPI32.Lib
arm,BSTR_UserFree,OLEAUT32.dll,286,OleAut32.Lib
arm,BSTR_UserMarshal,OLEAUT32.dll,284,OleAut32.Lib
arm,BSTR_UserSize,OLEAUT32.dll,283,OleAut32.Lib
arm,BSTR_UserUnmarshal,OLEAUT32.dll,285,OleAut32.Lib
arm,BackupEventLogA,ADVAPI32.dll,BackupEventLogA,AdvAPI32.Lib
arm,BackupEventLogW,ADVAPI32.dll,BackupEventLogW,AdvAPI32.Lib
arm,BackupRead,KERNEL32.dll,BackupRead,kernel32.Lib
arm,BackupSeek,KERNEL32.dll,BackupSeek,kernel32.Lib
arm,BackupWrite,KERNEL32.dll,BackupWrite,kernel32.Lib
arm,BaseRegCloseKey,ADVAPI32.dll,BaseRegCloseKey,AdvAPI32.Lib
arm,BaseRegCreateKey,ADVAPI32.dll,BaseRegCreateKey,AdvAPI32.Lib
arm,BaseRegDeleteKeyEx,ADVAPI32.dll,BaseRegDeleteKeyEx,AdvAPI32.Lib
arm,BaseRegDeleteValue,ADVAPI32.dll,BaseRegDeleteValue,AdvAPI32.Lib
arm,BaseRegFlushKey,ADVAPI32.dll,BaseRegFlushKey,AdvAPI32.Lib
arm,BaseRegGetVersion,ADVAPI32.dll,BaseRegGetVersion,AdvAPI32.Lib
arm,BaseRegLoadKey,ADVAPI32.dll,BaseRegLoadKey,AdvAPI32.Lib
arm,BaseRegOpenKey,ADVAPI32.dll,BaseRegOpenKey,AdvAPI32.Lib
arm,BaseRegRestoreKey,ADVAPI32.dll,BaseRegRestoreKey,AdvAPI32.Lib
arm,BaseRegSaveKeyEx,ADVAPI32.dll,BaseRegSaveKeyEx,AdvAPI32.Lib
arm,BaseRegSetKeySecurity,ADVAPI32.dll,BaseRegSetKeySecurity,AdvAPI32.Lib
arm,BaseRegSetValue,ADVAPI32.dll,BaseRegSetValue,AdvAPI32.Lib
arm,BaseRegUnLoadKey,ADVAPI32.dll,BaseRegUnLoadKey,AdvAPI32.Lib
arm,BaseSetLastNTError,KERNEL32.dll,BaseSetLastNTError,kernel32.Lib
arm,Beep,KERNEL32.dll,Beep,kernel32.Lib
arm,BeginDeferWindowPos,USER32.dll,BeginDeferWindowPos,User32.Lib
arm,BeginPaint,USER32.dll,BeginPaint,User32.Lib
arm,BeginUpdateResourceA,KERNEL32.dll,BeginUpdateResourceA,kernel32.Lib
arm,BeginUpdateResourceW,KERNEL32.dll,BeginUpdateResourceW,kernel32.Lib
arm,BindAsyncMoniker,urlmon.dll,BindAsyncMoniker,Urlmon.Lib
arm,BindIoCompletionCallback,KERNEL32.dll,BindIoCompletionCallback,kernel32.Lib
arm,BindMoniker,ole32.dll,BindMoniker,Ole32.Lib
arm,BlockInput,USER32.dll,BlockInput,User32.Lib
arm,BringWindowToTop,USER32.dll,BringWindowToTop,User32.Lib
arm,BroadcastSystemMessage,USER32.dll,BroadcastSystemMessage,User32.Lib
arm,BroadcastSystemMessageA,USER32.dll,BroadcastSystemMessageA,User32.Lib
arm,BroadcastSystemMessageExA,USER32.dll,BroadcastSystemMessageExA,User32.Lib
arm,BroadcastSystemMessageExW,USER32.dll,BroadcastSystemMessageExW,User32.Lib
arm,BroadcastSystemMessageW,USER32.dll,BroadcastSystemMessageW,User32.Lib
arm,BstrFromVector,OLEAUT32.dll,414,OleAut32.Lib
arm,BuildCommDCBA,KERNEL32.dll,BuildCommDCBA,kernel32.Lib
arm,BuildCommDCBAndTimeoutsA,KERNEL32.dll,BuildCommDCBAndTimeoutsA,kernel32.Lib
arm,BuildCommDCBAndTimeoutsW,KERNEL32.dll,BuildCommDCBAndTimeoutsW,kernel32.Lib
arm,BuildCommDCBW,KERNEL32.dll,BuildCommDCBW,kernel32.Lib
arm,BuildExplicitAccessWithNameA,ADVAPI32.dll,BuildExplicitAccessWithNameA,AdvAPI32.Lib
arm,BuildExplicitAccessWithNameW,ADVAPI32.dll,BuildExplicitAccessWithNameW,AdvAPI32.Lib
arm,BuildImpersonateExplicitAccessWithNameA,ADVAPI32.dll,BuildImpersonateExplicitAccessWithNameA,AdvAPI32.Lib
arm,BuildImpersonateExplicitAccessWithNameW,ADVAPI32.dll,BuildImpersonateExplicitAccessWithNameW,AdvAPI32.Lib
arm,BuildImpersonateTrusteeA,ADVAPI32.dll,BuildImpersonateTrusteeA,AdvAPI32.Lib
arm,BuildImpersonateTrusteeW,ADVAPI32.dll,BuildImpersonateTrusteeW,AdvAPI32.Lib
arm,BuildSecurityDescriptorA,ADVAPI32.dll,BuildSecurityDescriptorA,AdvAPI32.Lib
arm,BuildSecurityDescriptorW,ADVAPI32.dll,BuildSecurityDescriptorW,AdvAPI32.Lib
arm,BuildTrusteeWithNameA,ADVAPI32.dll,BuildTrusteeWithNameA,AdvAPI32.Lib
arm,BuildTrusteeWithNameW,ADVAPI32.dll,BuildTrusteeWithNameW,AdvAPI32.Lib
arm,BuildTrusteeWithObjectsAndNameA,ADVAPI32.dll,BuildTrusteeWithObjectsAndNameA,AdvAPI32.Lib
arm,BuildTrusteeWithObjectsAndNameW,ADVAPI32.dll,BuildTrusteeWithObjectsAndNameW,AdvAPI32.Lib
arm,BuildTrusteeWithObjectsAndSidA,ADVAPI32.dll,BuildTrusteeWithObjectsAndSidA,AdvAPI32.Lib
arm,BuildTrusteeWithObjectsAndSidW,ADVAPI32.dll,BuildTrusteeWithObjectsAndSidW,AdvAPI32.Lib
arm,BuildTrusteeWithSidA,ADVAPI32.dll,BuildTrusteeWithSidA,AdvAPI32.Lib
arm,BuildTrusteeWithSidW,ADVAPI32.dll,BuildTrusteeWithSidW,AdvAPI32.Lib
arm,CLIPFORMAT_UserFree,ole32.dll,CLIPFORMAT_UserFree,Ole32.Lib
arm,CLIPFORMAT_UserMarshal,ole32.dll,CLIPFORMAT_UserMarshal,Ole32.Lib
arm,CLIPFORMAT_UserSize,ole32.dll,CLIPFORMAT_UserSize,Ole32.Lib
arm,CLIPFORMAT_UserUnmarshal,ole32.dll,CLIPFORMAT_UserUnmarshal,Ole32.Lib
arm,CLRCreateInstance,mscoree.dll,CLRCreateInstance,mscoree.lib
arm,CLSIDFromProgID,ole32.dll,CLSIDFromProgID,Ole32.Lib
arm,CLSIDFromProgIDEx,ole32.dll,CLSIDFromProgIDEx,Ole32.Lib
arm,CLSIDFromString,ole32.dll,CLSIDFromString,Ole32.Lib
arm,CORPolicyProvider,urlmon.dll,CORPolicyProvider,Urlmon.Lib
arm,CStdStubBuffer_AddRef,RPCRT4.dll,CStdStubBuffer_AddRef,RpcRT4.Lib
arm,CStdStubBuffer_Connect,RPCRT4.dll,CStdStubBuffer_Connect,RpcRT4.Lib
arm,CStdStubBuffer_CountRefs,RPCRT4.dll,CStdStubBuffer_CountRefs,RpcRT4.Lib
arm,CStdStubBuffer_DebugServerQueryInterface,RPCRT4.dll,CStdStubBuffer_DebugServerQueryInterface,RpcRT4.Lib
arm,CStdStubBuffer_DebugServerRelease,RPCRT4.dll,CStdStubBuffer_DebugServerRelease,RpcRT4.Lib
arm,CStdStubBuffer_Disconnect,RPCRT4.dll,CStdStubBuffer_Disconnect,RpcRT4.Lib
arm,CStdStubBuffer_Invoke,RPCRT4.dll,CStdStubBuffer_Invoke,RpcRT4.Lib
arm,CStdStubBuffer_IsIIDSupported,RPCRT4.dll,CStdStubBuffer_IsIIDSupported,RpcRT4.Lib
arm,CStdStubBuffer_QueryInterface,RPCRT4.dll,CStdStubBuffer_QueryInterface,RpcRT4.Lib
arm,CalculatePopupWindowPosition,USER32.dll,CalculatePopupWindowPosition,User32.Lib
arm,CallFunctionShim,mscoree.dll,CallFunctionShim,mscoree.lib
arm,CallMsgFilter,USER32.dll,CallMsgFilter,User32.Lib
arm,CallMsgFilterA,USER32.dll,CallMsgFilterA,User32.Lib
arm,CallMsgFilterW,USER32.dll,CallMsgFilterW,User32.Lib
arm,CallNamedPipeA,KERNEL32.dll,CallNamedPipeA,kernel32.Lib
arm,CallNamedPipeW,KERNEL32.dll,CallNamedPipeW,kernel32.Lib
arm,CallNextHookEx,USER32.dll,CallNextHookEx,User32.Lib
arm,CallWindowProcA,USER32.dll,CallWindowProcA,User32.Lib
arm,CallWindowProcW,USER32.dll,CallWindowProcW,User32.Lib
arm,CallbackMayRunLong,KERNEL32.dll,CallbackMayRunLong,kernel32.Lib
arm,CancelDeviceWakeupRequest,KERNEL32.dll,CancelDeviceWakeupRequest,kernel32.Lib
arm,CancelIo,KERNEL32.dll,CancelIo,kernel32.Lib
arm,CancelIoEx,KERNEL32.dll,CancelIoEx,kernel32.Lib
arm,CancelOverlappedAccess,ADVAPI32.dll,CancelOverlappedAccess,AdvAPI32.Lib
arm,CancelShutdown,USER32.dll,CancelShutdown,User32.Lib
arm,CancelSynchronousIo,KERNEL32.dll,CancelSynchronousIo,kernel32.Lib
arm,CancelThreadpoolIo,KERNEL32.dll,CancelThreadpoolIo,kernel32.Lib
arm,CancelTimerQueueTimer,KERNEL32.dll,CancelTimerQueueTimer,kernel32.Lib
arm,CancelWaitableTimer,KERNEL32.dll,CancelWaitableTimer,kernel32.Lib
arm,CascadeChildWindows,USER32.dll,CascadeChildWindows,User32.Lib
arm,CascadeWindows,USER32.dll,CascadeWindows,User32.Lib
arm,CeipIsOptedIn,KERNEL32.dll,CeipIsOptedIn,kernel32.Lib
arm,ChangeClipboardChain,USER32.dll,ChangeClipboardChain,User32.Lib
arm,ChangeDisplaySettingsA,USER32.dll,ChangeDisplaySettingsA,User32.Lib
arm,ChangeDisplaySettingsExA,USER32.dll,ChangeDisplaySettingsExA,User32.Lib
arm,ChangeDisplaySettingsExW,USER32.dll,ChangeDisplaySettingsExW,User32.Lib
arm,ChangeDisplaySettingsW,USER32.dll,ChangeDisplaySettingsW,User32.Lib
arm,ChangeMenuA,USER32.dll,ChangeMenuA,User32.Lib
arm,ChangeMenuW,USER32.dll,ChangeMenuW,User32.Lib
arm,ChangeServiceConfig2A,ADVAPI32.dll,ChangeServiceConfig2A,AdvAPI32.Lib
arm,ChangeServiceConfig2W,ADVAPI32.dll,ChangeServiceConfig2W,AdvAPI32.Lib
arm,ChangeServiceConfigA,ADVAPI32.dll,ChangeServiceConfigA,AdvAPI32.Lib
arm,ChangeServiceConfigW,ADVAPI32.dll,ChangeServiceConfigW,AdvAPI32.Lib
arm,ChangeTimerQueueTimer,KERNEL32.dll,ChangeTimerQueueTimer,kernel32.Lib
arm,ChangeWindowMessageFilter,USER32.dll,ChangeWindowMessageFilter,User32.Lib
arm,ChangeWindowMessageFilterEx,USER32.dll,ChangeWindowMessageFilterEx,User32.Lib
arm,CharLowerA,USER32.dll,CharLowerA,User32.Lib
arm,CharLowerBuffA,USER32.dll,CharLowerBuffA,User32.Lib
arm,CharLowerBuffW,USER32.dll,CharLowerBuffW,User32.Lib
arm,CharLowerW,USER32.dll,CharLowerW,User32.Lib
arm,CharNextA,USER32.dll,CharNextA,User32.Lib
arm,CharNextExA,USER32.dll,CharNextExA,User32.Lib
arm,CharNextW,USER32.dll,CharNextW,User32.Lib
arm,CharPrevA,USER32.dll,CharPrevA,User32.Lib
arm,CharPrevExA,USER32.dll,CharPrevExA,User32.Lib
arm,CharPrevW,USER32.dll,CharPrevW,User32.Lib
arm,CharToOemA,USER32.dll,CharToOemA,User32.Lib
arm,CharToOemBuffA,USER32.dll,CharToOemBuffA,User32.Lib
arm,CharToOemBuffW,USER32.dll,CharToOemBuffW,User32.Lib
arm,CharToOemW,USER32.dll,CharToOemW,User32.Lib
arm,CharUpperA,USER32.dll,CharUpperA,User32.Lib
arm,CharUpperBuffA,USER32.dll,CharUpperBuffA,User32.Lib
arm,CharUpperBuffW,USER32.dll,CharUpperBuffW,User32.Lib
arm,CharUpperW,USER32.dll,CharUpperW,User32.Lib
arm,CheckDlgButton,USER32.dll,CheckDlgButton,User32.Lib
arm,CheckElevation,KERNEL32.dll,CheckElevation,kernel32.Lib
arm,CheckElevationEnabled,KERNEL32.dll,CheckElevationEnabled,kernel32.Lib
arm,CheckForHiberboot,ADVAPI32.dll,CheckForHiberboot,AdvAPI32.Lib
arm,CheckMenuItem,USER32.dll,CheckMenuItem,User32.Lib
arm,CheckMenuRadioItem,USER32.dll,CheckMenuRadioItem,User32.Lib
arm,CheckNameLegalDOS8Dot3A,KERNEL32.dll,CheckNameLegalDOS8Dot3A,kernel32.Lib
arm,CheckNameLegalDOS8Dot3W,KERNEL32.dll,CheckNameLegalDOS8Dot3W,kernel32.Lib
arm,CheckRadioButton,USER32.dll,CheckRadioButton,User32.Lib
arm,CheckRemoteDebuggerPresent,KERNEL32.dll,CheckRemoteDebuggerPresent,kernel32.Lib
arm,CheckTokenCapability,KERNEL32.dll,CheckTokenCapability,kernel32.Lib
arm,CheckTokenMembership,ADVAPI32.dll,CheckTokenMembership,AdvAPI32.Lib
arm,CheckTokenMembershipEx,KERNEL32.dll,CheckTokenMembershipEx,kernel32.Lib
arm,ChildWindowFromPoint,USER32.dll,ChildWindowFromPoint,User32.Lib
arm,ChildWindowFromPointEx,USER32.dll,ChildWindowFromPointEx,User32.Lib
arm,CleanupDeviceAPI,MMDevAPI.DLL,2,mmdevapi.lib
arm,ClearCommBreak,KERNEL32.dll,ClearCommBreak,kernel32.Lib
arm,ClearCommError,KERNEL32.dll,ClearCommError,kernel32.Lib
arm,ClearCustData,OLEAUT32.dll,171,OleAut32.Lib
arm,ClearEventLogA,ADVAPI32.dll,ClearEventLogA,AdvAPI32.Lib
arm,ClearEventLogW,ADVAPI32.dll,ClearEventLogW,AdvAPI32.Lib
arm,ClearPropVariantArray,PROPSYS.dll,ClearPropVariantArray,propsys.lib
arm,ClearVariantArray,PROPSYS.dll,ClearVariantArray,propsys.lib
arm,ClientToScreen,USER32.dll,ClientToScreen,User32.Lib
arm,ClipCursor,USER32.dll,ClipCursor,User32.Lib
arm,CloseClipboard,USER32.dll,CloseClipboard,User32.Lib
arm,CloseCodeAuthzLevel,ADVAPI32.dll,CloseCodeAuthzLevel,AdvAPI32.Lib
arm,CloseCompressor,Cabinet.dll,35,Cabinet.Lib
arm,CloseDecompressor,Cabinet.dll,45,Cabinet.Lib
arm,CloseDesktop,USER32.dll,CloseDesktop,User32.Lib
arm,CloseEncryptedFileRaw,ADVAPI32.dll,CloseEncryptedFileRaw,AdvAPI32.Lib
arm,CloseEventLog,ADVAPI32.dll,CloseEventLog,AdvAPI32.Lib
arm,CloseGestureInfoHandle,USER32.dll,CloseGestureInfoHandle,User32.Lib
arm,CloseHandle,KERNEL32.dll,CloseHandle,kernel32.Lib
arm,ClosePackageInfo,KERNEL32.dll,ClosePackageInfo,kernel32.Lib
arm,ClosePrivateNamespace,KERNEL32.dll,ClosePrivateNamespace,kernel32.Lib
arm,CloseServiceHandle,ADVAPI32.dll,CloseServiceHandle,AdvAPI32.Lib
arm,CloseThreadWaitChainSession,ADVAPI32.dll,CloseThreadWaitChainSession,AdvAPI32.Lib
arm,CloseThreadpool,KERNEL32.dll,CloseThreadpool,kernel32.Lib
arm,CloseThreadpoolCleanupGroup,KERNEL32.dll,CloseThreadpoolCleanupGroup,kernel32.Lib
arm,CloseThreadpoolCleanupGroupMembers,KERNEL32.dll,CloseThreadpoolCleanupGroupMembers,kernel32.Lib
arm,CloseThreadpoolIo,KERNEL32.dll,CloseThreadpoolIo,kernel32.Lib
arm,CloseThreadpoolTimer,KERNEL32.dll,CloseThreadpoolTimer,kernel32.Lib
arm,CloseThreadpoolWait,KERNEL32.dll,CloseThreadpoolWait,kernel32.Lib
arm,CloseThreadpoolWork,KERNEL32.dll,CloseThreadpoolWork,kernel32.Lib
arm,CloseTouchInputHandle,USER32.dll,CloseTouchInputHandle,User32.Lib
arm,CloseTrace,ADVAPI32.dll,CloseTrace,AdvAPI32.Lib
arm,CloseWindow,USER32.dll,CloseWindow,User32.Lib
arm,CloseWindowStation,USER32.dll,CloseWindowStation,User32.Lib
arm,ClrCreateManagedInstance,mscoree.dll,ClrCreateManagedInstance,mscoree.lib
arm,CoAddRefServerProcess,ole32.dll,CoAddRefServerProcess,Ole32.Lib
arm,CoAllowSetForegroundWindow,ole32.dll,CoAllowSetForegroundWindow,Ole32.Lib
arm,CoBuildVersion,ole32.dll,CoBuildVersion,Ole32.Lib
arm,CoCancelCall,ole32.dll,CoCancelCall,Ole32.Lib
arm,CoCopyProxy,ole32.dll,CoCopyProxy,Ole32.Lib
arm,CoCreateFreeThreadedMarshaler,ole32.dll,CoCreateFreeThreadedMarshaler,Ole32.Lib
arm,CoCreateGuid,ole32.dll,CoCreateGuid,Ole32.Lib
arm,CoCreateInstance,ole32.dll,CoCreateInstance,Ole32.Lib
arm,CoCreateInstanceEx,ole32.dll,CoCreateInstanceEx,Ole32.Lib
arm,CoCreateInstanceFromApp,ole32.dll,CoCreateInstanceFromApp,Ole32.Lib
arm,CoCreateObjectInContext,ole32.dll,CoCreateObjectInContext,Ole32.Lib
arm,CoDeactivateObject,ole32.dll,CoDeactivateObject,Ole32.Lib
arm,CoDecodeProxy,ole32.dll,CoDecodeProxy,Ole32.Lib
arm,CoDecrementMTAUsage,ole32.dll,CoDecrementMTAUsage,Ole32.Lib
arm,CoDisableCallCancellation,ole32.dll,CoDisableCallCancellation,Ole32.Lib
arm,CoDisconnectContext,ole32.dll,CoDisconnectContext,Ole32.Lib
arm,CoDisconnectObject,ole32.dll,CoDisconnectObject,Ole32.Lib
arm,CoDosDateTimeToFileTime,ole32.dll,CoDosDateTimeToFileTime,Ole32.Lib
arm,CoEEShutDownCOM,mscoree.dll,CoEEShutDownCOM,mscoree.lib
arm,CoEnableCallCancellation,ole32.dll,CoEnableCallCancellation,Ole32.Lib
arm,CoFileTimeNow,ole32.dll,CoFileTimeNow,Ole32.Lib
arm,CoFileTimeToDosDateTime,ole32.dll,CoFileTimeToDosDateTime,Ole32.Lib
arm,CoFreeAllLibraries,ole32.dll,CoFreeAllLibraries,Ole32.Lib
arm,CoFreeLibrary,ole32.dll,CoFreeLibrary,Ole32.Lib
arm,CoFreeUnusedLibraries,ole32.dll,CoFreeUnusedLibraries,Ole32.Lib
