symbol,dll,export,lib
PeerGraphGetProperties,P2PGRAPH.dll,PeerGraphGetProperties,p2pgraph.lib
PeerGraphGetRecord,P2PGRAPH.dll,PeerGraphGetRecord,p2pgraph.lib
PeerGraphGetStatus,P2PGRAPH.dll,PeerGraphGetStatus,p2pgraph.lib
PeerGraphImportDatabase,P2PGRAPH.dll,PeerGraphImportDatabase,p2pgraph.lib
PeerGraphListen,P2PGRAPH.dll,PeerGraphListen,p2pgraph.lib
PeerGraphOpen,P2PGRAPH.dll,PeerGraphOpen,p2pgraph.lib
PeerGraphOpenDirectConnection,P2PGRAPH.dll,PeerGraphOpenDirectConnection,p2pgraph.lib
PeerGraphPeerTimeToUniversalTime,P2PGRAPH.dll,PeerGraphPeerTimeToUniversalTime,p2pgraph.lib
PeerGraphRegisterEvent,P2PGRAPH.dll,PeerGraphRegisterEvent,p2pgraph.lib
PeerGraphSearchRecords,P2PGRAPH.dll,PeerGraphSearchRecords,p2pgraph.lib
PeerGraphSendData,P2PGRAPH.dll,PeerGraphSendData,p2pgraph.lib
PeerGraphSetNodeAttributes,P2PGRAPH.dll,PeerGraphSetNodeAttributes,p2pgraph.lib
PeerGraphSetPresence,P2PGRAPH.dll,PeerGraphSetPresence,p2pgraph.lib
PeerGraphSetProperties,P2PGRAPH.dll,PeerGraphSetProperties,p2pgraph.lib
PeerGraphShutdown,P2PGRAPH.dll,PeerGraphShutdown,p2pgraph.lib
PeerGraphStartup,P2PGRAPH.dll,PeerGraphStartup,p2pgraph.lib
PeerGraphUniversalTimeToPeerTime,P2PGRAPH.dll,PeerGraphUniversalTimeToPeerTime,p2pgraph.lib
PeerGraphUnregisterEvent,P2PGRAPH.dll,PeerGraphUnregisterEvent,p2pgraph.lib
PeerGraphUpdateRecord,P2PGRAPH.dll,PeerGraphUpdateRecord,p2pgraph.lib
PeerGraphValidateDeferredRecords,P2PGRAPH.dll,PeerGraphValidateDeferredRecords,p2pgraph.lib
PeerGroupAddRecord,P2P.dll,PeerGroupAddRecord,p2p.lib
PeerGroupClose,P2P.dll,PeerGroupClose,p2p.lib
PeerGroupCloseDirectConnection,P2P.dll,PeerGroupCloseDirectConnection,p2p.lib
PeerGroupConnect,P2P.dll,PeerGroupConnect,p2p.lib
