symbol,dll,export,lib
AbortPath,GDI32.dll,AbortPath,Gdi32.Lib
ActivatePackageVirtualizationContext,KERNEL32.dll,ActivatePackageVirtualizationContext,kernel32.Lib
AddConsoleAliasA,KERNEL32.dll,AddConsoleAliasA,kernel32.Lib
AddConsoleAliasW,KERNEL32.dll,AddConsoleAliasW,kernel32.Lib
AddFontMemResourceEx,GDI32.dll,AddFontMemResourceEx,Gdi32.Lib
AddFontResourceExA,GDI32.dll,AddFontResourceExA,Gdi32.Lib
AddFontResourceExW,GDI32.dll,AddFontResourceExW,Gdi32.Lib
AllocConsole,KERNEL32.dll,AllocConsole,kernel32.Lib
AllocConsoleWithOptions,KERNEL32.dll,AllocConsoleWithOptions,kernel32.Lib
AngleArc,GDI32.dll,AngleArc,Gdi32.Lib
ArcTo,GDI32.dll,ArcTo,Gdi32.Lib
AssocCreateForClasses,SHELL32.dll,AssocCreateForClasses,shell32.lib
AssocElemCreateForKey,SHELL32.dll,AssocElemCreateForKey,shell32.lib
AssocGetDetailsOfPropKey,SHELL32.dll,AssocGetDetailsOfPropKey,shell32.lib
AttachConsole,KERNEL32.dll,AttachConsole,kernel32.Lib
AttachThreadInput,USER32.dll,AttachThreadInput,User32.Lib
BeginPaint,USER32.dll,BeginPaint,User32.Lib
BlockInput,USER32.dll,BlockInput,User32.Lib
CalculatePopupWindowPosition,USER32.dll,CalculatePopupWindowPosition,User32.Lib
CallNamedPipeW,KERNEL32.dll,CallNamedPipeW,kernel32.Lib
CancelDC,GDI32.dll,CancelDC,Gdi32.Lib
CancelWaitableTimer,KERNEL32.dll,CancelWaitableTimer,kernel32.Lib
ChangeWindowMessageFilterEx,USER32.dll,ChangeWindowMessageFilterEx,User32.Lib
CheckColorsInGamut,GDI32.dll,CheckColorsInGamut,Gdi32.Lib
CheckEscapesW,SHELL32.dll,CheckEscapesW,shell32.lib
ChildWindowFromPointEx,USER32.dll,ChildWindowFromPointEx,User32.Lib
ChoosePixelFormat,GDI32.dll,ChoosePixelFormat,Gdi32.Lib
Chord,GDI32.dll,Chord,Gdi32.Lib
ClearCommBreak,KERNEL32.dll,ClearCommBreak,kernel32.Lib
ClearCommError,KERNEL32.dll,ClearCommError,kernel32.Lib
ClipCursor,USER32.dll,ClipCursor,User32.Lib
CloseDesktop,USER32.dll,CloseDesktop,User32.Lib
CloseHandle,KERNEL32.dll,CloseHandle,kernel32.Lib
ClosePseudoConsole,KERNEL32.dll,ClosePseudoConsole,kernel32.Lib
CloseWindowStation,USER32.dll,CloseWindowStation,User32.Lib
CoInitializeWOW,ole32.dll,CoInitializeWOW,Ole32.Lib
CoRegisterMessageFilter,ole32.dll,CoRegisterMessageFilter,Ole32.Lib
CoRegisterSurrogateEx,ole32.dll,CoRegisterSurrogateEx,Ole32.Lib
CoUnloadingWOW,ole32.dll,CoUnloadingWOW,Ole32.Lib
ColorCorrectPalette,GDI32.dll,ColorCorrectPalette,Gdi32.Lib
ColorMatchToTarget,GDI32.dll,ColorMatchToTarget,Gdi32.Lib
CombineTransform,GDI32.dll,CombineTransform,Gdi32.Lib
CompareFileTime,KERNEL32.dll,CompareFileTime,kernel32.Lib
ControlTraceA,ADVAPI32.dll,ControlTraceA,AdvAPI32.Lib
ConvertFiberToThread,KERNEL32.dll,ConvertFiberToThread,kernel32.Lib
ConvertThreadToFiber,KERNEL32.dll,ConvertThreadToFiber,kernel32.Lib
ConvertThreadToFiberEx,KERNEL32.dll,ConvertThreadToFiberEx,kernel32.Lib
CopyAcceleratorTableW,USER32.dll,CopyAcceleratorTableW,User32.Lib
CopyEnhMetaFileA,GDI32.dll,CopyEnhMetaFileA,Gdi32.Lib
CopyEnhMetaFileW,GDI32.dll,CopyEnhMetaFileW,Gdi32.Lib
CopyFileW,KERNEL32.dll,CopyFileW,kernel32.Lib
CopyMetaFileA,GDI32.dll,CopyMetaFileA,Gdi32.Lib
CopyMetaFileW,GDI32.dll,CopyMetaFileW,Gdi32.Lib
CreateAcceleratorTableW,USER32.dll,CreateAcceleratorTableW,User32.Lib
CreateColorSpaceA,GDI32.dll,CreateColorSpaceA,Gdi32.Lib
CreateColorSpaceW,GDI32.dll,CreateColorSpaceW,Gdi32.Lib
CreateConsoleScreenBuffer,KERNEL32.dll,CreateConsoleScreenBuffer,kernel32.Lib
CreateDIBPatternBrush,GDI32.dll,CreateDIBPatternBrush,Gdi32.Lib
CreateDIBPatternBrushPt,GDI32.dll,CreateDIBPatternBrushPt,Gdi32.Lib
CreateDirectoryA,KERNEL32.dll,CreateDirectoryA,kernel32.Lib
CreateDirectoryW,KERNEL32.dll,CreateDirectoryW,kernel32.Lib
CreateDiscardableBitmap,GDI32.dll,CreateDiscardableBitmap,Gdi32.Lib
CreateEllipticRgn,GDI32.dll,CreateEllipticRgn,Gdi32.Lib
CreateEnhMetaFileW,GDI32.dll,CreateEnhMetaFileW,Gdi32.Lib
CreateErrorInfo,OLEAUT32.dll,202,OleAut32.Lib
CreateErrorInfo,OLEAUT32.dll,202,OneCore.Lib
CreateErrorInfo,OLEAUT32.dll,202,OneCoreUAP.Lib
CreateErrorInfo,OLEAUT32.dll,202,OneCoreUAP_apiset.Lib
CreateErrorInfo,OLEAUT32.dll,202,OneCoreUAP_downlevel.Lib
CreateErrorInfo,OLEAUT32.dll,202,OneCore_apiset.Lib
CreateErrorInfo,OLEAUT32.dll,202,OneCore_downlevel.Lib
CreateErrorInfo,OLEAUT32.dll,202,mincore.lib
CreateErrorInfo,OLEAUT32.dll,202,windowscoreheadless.Lib
CreateErrorInfo,OLEAUT32.dll,202,windowscoreheadless_apiset.Lib
CreateEventA,KERNEL32.dll,CreateEventA,kernel32.Lib
CreateEventExA,KERNEL32.dll,CreateEventExA,kernel32.Lib
CreateEventExW,KERNEL32.dll,CreateEventExW,kernel32.Lib
CreateEventW,KERNEL32.dll,CreateEventW,kernel32.Lib
CreateFiber,KERNEL32.dll,CreateFiber,kernel32.Lib
CreateFiberEx,KERNEL32.dll,CreateFiberEx,kernel32.Lib
CreateFile2,KERNEL32.dll,CreateFile2,kernel32.Lib
CreateFileA,KERNEL32.dll,CreateFileA,kernel32.Lib
CreateFileW,KERNEL32.dll,CreateFileW,kernel32.Lib
CreateFontIndirectExA,GDI32.dll,CreateFontIndirectExA,Gdi32.Lib
CreateFontIndirectExW,GDI32.dll,CreateFontIndirectExW,Gdi32.Lib
CreateHatchBrush,GDI32.dll,CreateHatchBrush,Gdi32.Lib
CreateICA,GDI32.dll,CreateICA,Gdi32.Lib
CreateMetaFileW,GDI32.dll,CreateMetaFileW,Gdi32.Lib
CreateMutexA,KERNEL32.dll,CreateMutexA,kernel32.Lib
CreateMutexExA,KERNEL32.dll,CreateMutexExA,kernel32.Lib
CreateMutexExW,KERNEL32.dll,CreateMutexExW,kernel32.Lib
CreateMutexW,KERNEL32.dll,CreateMutexW,kernel32.Lib
CreatePackageVirtualizationContext,KERNEL32.dll,CreatePackageVirtualizationContext,kernel32.Lib
CreatePseudoConsole,KERNEL32.dll,CreatePseudoConsole,kernel32.Lib
CreateScalableFontResourceA,GDI32.dll,CreateScalableFontResourceA,Gdi32.Lib
CreateSemaphoreExW,KERNEL32.dll,CreateSemaphoreExW,kernel32.Lib
CreateSemaphoreW,KERNEL32.dll,CreateSemaphoreW,kernel32.Lib
CreateWaitableTimerExW,KERNEL32.dll,CreateWaitableTimerExW,kernel32.Lib
DAD_AutoScroll,SHELL32.dll,129,shell32.lib
DAD_DragEnterEx,SHELL32.dll,131,shell32.lib
DAD_SetDragImage,SHELL32.dll,136,shell32.lib
DAD_ShowDragImage,SHELL32.dll,137,shell32.lib
DeactivatePackageVirtualizationContext,KERNEL32.dll,DeactivatePackageVirtualizationContext,kernel32.Lib
DefineDosDeviceW,KERNEL32.dll,DefineDosDeviceW,kernel32.Lib
DeleteColorSpace,GDI32.dll,DeleteColorSpace,Gdi32.Lib
DeleteFiber,KERNEL32.dll,DeleteFiber,kernel32.Lib
DeleteFileA,KERNEL32.dll,DeleteFileA,kernel32.Lib
DeleteFileW,KERNEL32.dll,DeleteFileW,kernel32.Lib
DeleteMenu,USER32.dll,DeleteMenu,User32.Lib
DeleteTimerQueue,KERNEL32.dll,DeleteTimerQueue,kernel32.Lib
DeleteVolumeMountPointW,KERNEL32.dll,DeleteVolumeMountPointW,kernel32.Lib
DescribePixelFormat,GDI32.dll,DescribePixelFormat,Gdi32.Lib
