symbol,version
FwpmConnectionPolicyAdd0,10.0.26100
FwpmConnectionPolicyDeleteByKey0,10.0.26100
GameInputCreate,10.0.26100
GetClusterUserMgrCredential,10.0.26100
GetCurrentMonitorTopologyId,10.0.26100
GetDefaultContentDecryptionModuleFactory,10.0.26100
GetDeveloperDriveEnablementState,10.0.26100
GetFeatureToggleConfiguration,10.0.26100
GetFeatureTogglesChangeToken,10.0.26100
GetFileInformationByName,10.0.26100
GetFlVirtualInterface,10.0.26100
GetFlVirtualInterfaceTable,10.0.26100
GetHardwareRequirementSystemInfo,10.0.26100
GetHardwareRequirements,10.0.26100
GetLatestHardwareRequirement,10.0.26100
GetMemoryNumaClosestInitiatorNode,10.0.26100
GetMemoryNumaPerformanceInformation,10.0.26100
GetPackageDependencyInformation,10.0.26100
GetProcessesUsingPackageDependency,10.0.26100
GetResolvedPackageFullNameForPackageDependency2,10.0.26100
GetSystemNativeProcessorSignature,10.0.26100
GetWindowFromWindowId,10.0.26100
GetWindowIdFromWindow,10.0.26100
HcsAbortSystemPreservation,10.0.26100
HcsAttachOverlayFilter,10.0.26100
HcsDetachOverlayFilter,10.0.26100
HcsFinalizeLiveMigration,10.0.26100
HcsFinalizeSystemPreservation,10.0.26100
HcsGetOperationProperties,10.0.26100
HcsInitializeLiveMigrationOnSource,10.0.26100
HcsStartLiveMigrationOnSource,10.0.26100
HcsStartLiveMigrationTransfer,10.0.26100
HcsStartSystemPreservation,10.0.26100
HcsSystemControl,10.0.26100
InitPropVariantFromFloatVector,10.0.26100
InitializeClusKeyValueEntry,10.0.26100
InitializeClusKeyValueEntryArray,10.0.26100
InitializeClusKeyValueStoreInfo,10.0.26100
InitializeClusKeyValueStoreInfoArray,10.0.26100
InitializeClusKeyValueStoreManagerInfo,10.0.26100
InitializeClusKeyValueStoreManagerInfoArray,10.0.26100
InitializeFlVirtualInterfaceEntry,10.0.26100
InternetSetSecureLegacyServersAppCompat,10.0.26100
InvokeClusterNativeUpdateControl,10.0.26100
IsActivityCoordinatorResourceSupported,10.0.26100
IsTestSigningOn,10.0.26100
IsWindowArranged,10.0.26100
JetDupSession2,10.0.26100
LocalServerAlternativePortEnum,10.0.26100
LocalServerAlternativePortUpdate,10.0.26100
LocalServerCertificateMappingAceAdd,10.0.26100
LocalServerCertificateMappingAceRemove,10.0.26100
LocalServerSmbDirectModuleControl,10.0.26100
LocateKernelImage,10.0.26100
LogUnexpectedCodepath,10.0.26100
LsaIOpenPolicyWithCreds,10.0.26100
MFCreateDXGICrossAdapterBuffer,10.0.26100
MFGetDXGIDeviceManageMode,10.0.26100
Msv1_0ExportSubAuthenticationRoutineEx,10.0.26100
NetIsServiceAccount2,10.0.26100
NetpWkstaClientCertificateMappingAdd,10.0.26100
NetpWkstaClientCertificateMappingEnum,10.0.26100
NetpWkstaClientCertificateMappingGet,10.0.26100
NetpWkstaClientCertificateMappingModify,10.0.26100
NetpWkstaClientCertificateMappingRemove,10.0.26100
NetpWkstaClientSmbDirectModuleControl,10.0.26100
NotifyFeatureToggleUsage,10.0.26100
NtAlertMultipleThreadByThreadId,10.0.26100
NtAlertThreadByThreadIdEx,10.0.26100
NtSetEventEx,10.0.26100
OleConvertOLESTREAMToIStorage2,10.0.26100
OleConvertOLESTREAMToIStorageEx2,10.0.26100
OpenKeyValueStore,10.0.26100
OpenPrinterPortWithClientInfo,10.0.26100
PowerGetUserConfiguredACPowerMode,10.0.26100
PowerGetUserConfiguredDCPowerMode,10.0.26100
PowerSetUserConfiguredACPowerMode,10.0.26100
PowerSetUserConfiguredDCPowerMode,10.0.26100
PropVariantToFloatVector,10.0.26100
RegisterLampArrayCallback,10.0.26100
RegisterLampArrayStatusCallback,10.0.26100
RegisterMediaExtensionPackage,10.0.26100
ReleasePseudoConsole,10.0.26100
RemoveBindLink,10.0.26100
RemoveClusterFabricControllerManager,10.0.26100
RepairClusterNameAccount,10.0.26100
RtlFlsGetValue2,10.0.26100
RtlGetAcesBufferSize,10.0.26100
RtlGetCurrentThreadPrimaryGroup,10.0.26100
RtlGetFeatureToggleConfiguration,10.0.26100
RtlGetFeatureTogglesChangeToken,10.0.26100
RtlLogUnexpectedCodepath,10.0.26100
RtlNotifyFeatureToggleUsage,10.0.26100
RtlQueryAllInternalFeatureConfigurations,10.0.26100
RtlRcuAllocate,10.0.26100
RtlRcuFree,10.0.26100
RtlRcuReadLock,10.0.26100
RtlRcuReadUnlock,10.0.26100
RtlRcuSynchronize,10.0.26100
RtlTlsAlloc,10.0.26100
RtlTlsFree,10.0.26100
RtlTlsSetValue,10.0.26100
RtlWow64GetCpuAreaEnabledFeatures,10.0.26100
RtlXRestore,10.0.26100
RtlXSave,10.0.26100
RunFileDlg,10.0.26100
SamILoopbackConnectEx,10.0.26100
SamLapsSysprepCleanup,10.0.26100
SamQueryLapsManagedAccount,10.0.26100
SamiAccountIsDelegateManagedServiceAccount,10.0.26100
SamiGetBadPasswordErrorMessage,10.0.26100
SamiValidateComputerAccountReuseAttempt,10.0.26100
SampIsInternetAccount,10.0.26100
SampQueryDSRMAccountName,10.0.26100
SampQueryResourceString,10.0.26100
SamrEnumerateDomainsInSamServer,10.0.26100
SamrLookupDomainInSamServer,10.0.26100
SecAllocateAndSetCallTarget,10.0.26100
SecAllocateAndSetIPAddress,10.0.26100
