symbol,dll,export,lib
_ADsSetLastError@12,ACTIVEDS.dll,12,ActiveDS.Lib
_AERT_Allocate@8,audioeng.dll,AERT_Allocate,audioeng.lib
_AERT_Free@4,audioeng.dll,AERT_Free,audioeng.lib
_AETraceOutputDebugString,MMDevAPI.DLL,13,mmdevapi.lib
_AMGetErrorTextA@12,QUARTZ.dll,AMGetErrorTextA,quartz.lib
_AMGetErrorTextW@12,QUARTZ.dll,AMGetErrorTextW,quartz.lib
_ATQReleaseTCPPortReservation@4,NTDSATQ.dll,_ATQReleaseTCPPortReservation@4,ntdsatq.lib
_ATQReserveTCPPorts@12,NTDSATQ.dll,_ATQReserveTCPPorts@12,ntdsatq.lib
_AVIBuildFilter@12,AVIFIL32.dll,AVIBuildFilter,Vfw32.Lib
_AVIBuildFilter@12,AVIFIL32.dll,AVIBuildFilter,avifil32.Lib
_AVIBuildFilterA@12,AVIFIL32.dll,AVIBuildFilterA,Vfw32.Lib
_AVIBuildFilterA@12,AVIFIL32.dll,AVIBuildFilterA,avifil32.Lib
_AVIBuildFilterW@12,AVIFIL32.dll,AVIBuildFilterW,Vfw32.Lib
_AVIBuildFilterW@12,AVIFIL32.dll,AVIBuildFilterW,avifil32.Lib
_AVIClearClipboard@0,AVIFIL32.dll,AVIClearClipboard,Vfw32.Lib
_AVIClearClipboard@0,AVIFIL32.dll,AVIClearClipboard,avifil32.Lib
_AVIFileAddRef@4,AVIFIL32.dll,AVIFileAddRef,Vfw32.Lib
_AVIFileAddRef@4,AVIFIL32.dll,AVIFileAddRef,avifil32.Lib
_AVIFileCreateStream@12,AVIFIL32.dll,AVIFileCreateStream,Vfw32.Lib
_AVIFileCreateStream@12,AVIFIL32.dll,AVIFileCreateStream,avifil32.Lib
_AVIFileCreateStreamA@12,AVIFIL32.dll,AVIFileCreateStreamA,Vfw32.Lib
_AVIFileCreateStreamA@12,AVIFIL32.dll,AVIFileCreateStreamA,avifil32.Lib
_AVIFileCreateStreamW@12,AVIFIL32.dll,AVIFileCreateStreamW,Vfw32.Lib
_AVIFileCreateStreamW@12,AVIFIL32.dll,AVIFileCreateStreamW,avifil32.Lib
_AVIFileEndRecord@4,AVIFIL32.dll,AVIFileEndRecord,Vfw32.Lib
_AVIFileEndRecord@4,AVIFIL32.dll,AVIFileEndRecord,avifil32.Lib
_AVIFileExit@0,AVIFIL32.dll,AVIFileExit,Vfw32.Lib
_AVIFileExit@0,AVIFIL32.dll,AVIFileExit,avifil32.Lib
_AVIFileGetStream@16,AVIFIL32.dll,AVIFileGetStream,Vfw32.Lib
_AVIFileGetStream@16,AVIFIL32.dll,AVIFileGetStream,avifil32.Lib
_AVIFileInfo@12,AVIFIL32.dll,AVIFileInfo,Vfw32.Lib
_AVIFileInfo@12,AVIFIL32.dll,AVIFileInfo,avifil32.Lib
_AVIFileInfoA@12,AVIFIL32.dll,AVIFileInfoA,Vfw32.Lib
_AVIFileInfoA@12,AVIFIL32.dll,AVIFileInfoA,avifil32.Lib
_AVIFileInfoW@12,AVIFIL32.dll,AVIFileInfoW,Vfw32.Lib
_AVIFileInfoW@12,AVIFIL32.dll,AVIFileInfoW,avifil32.Lib
_AVIFileInit@0,AVIFIL32.dll,AVIFileInit,Vfw32.Lib
_AVIFileInit@0,AVIFIL32.dll,AVIFileInit,avifil32.Lib
_AVIFileOpen@16,AVIFIL32.dll,AVIFileOpen,Vfw32.Lib
_AVIFileOpen@16,AVIFIL32.dll,AVIFileOpen,avifil32.Lib
_AVIFileOpenA@16,AVIFIL32.dll,AVIFileOpenA,Vfw32.Lib
_AVIFileOpenA@16,AVIFIL32.dll,AVIFileOpenA,avifil32.Lib
_AVIFileOpenW@16,AVIFIL32.dll,AVIFileOpenW,Vfw32.Lib
_AVIFileOpenW@16,AVIFIL32.dll,AVIFileOpenW,avifil32.Lib
_AVIFileReadData@16,AVIFIL32.dll,AVIFileReadData,Vfw32.Lib
_AVIFileReadData@16,AVIFIL32.dll,AVIFileReadData,avifil32.Lib
_AVIFileRelease@4,AVIFIL32.dll,AVIFileRelease,Vfw32.Lib
_AVIFileRelease@4,AVIFIL32.dll,AVIFileRelease,avifil32.Lib
_AVIFileWriteData@16,AVIFIL32.dll,AVIFileWriteData,Vfw32.Lib
_AVIFileWriteData@16,AVIFIL32.dll,AVIFileWriteData,avifil32.Lib
_AVIGetFromClipboard@4,AVIFIL32.dll,AVIGetFromClipboard,Vfw32.Lib
_AVIGetFromClipboard@4,AVIFIL32.dll,AVIGetFromClipboard,avifil32.Lib
_AVIMakeCompressedStream@16,AVIFIL32.dll,AVIMakeCompressedStream,Vfw32.Lib
_AVIMakeCompressedStream@16,AVIFIL32.dll,AVIMakeCompressedStream,avifil32.Lib
_AVIMakeFileFromStreams@12,AVIFIL32.dll,AVIMakeFileFromStreams,Vfw32.Lib
_AVIMakeFileFromStreams@12,AVIFIL32.dll,AVIMakeFileFromStreams,avifil32.Lib
_AVIMakeStreamFromClipboard@12,AVIFIL32.dll,AVIMakeStreamFromClipboard,Vfw32.Lib
_AVIMakeStreamFromClipboard@12,AVIFIL32.dll,AVIMakeStreamFromClipboard,avifil32.Lib
_AVIPutFileOnClipboard@4,AVIFIL32.dll,AVIPutFileOnClipboard,Vfw32.Lib
_AVIPutFileOnClipboard@4,AVIFIL32.dll,AVIPutFileOnClipboard,avifil32.Lib
_AVISave,AVIFIL32.dll,AVISave,Vfw32.Lib
_AVISave,AVIFIL32.dll,AVISave,avifil32.Lib
_AVISaveA,AVIFIL32.dll,AVISaveA,Vfw32.Lib
_AVISaveA,AVIFIL32.dll,AVISaveA,avifil32.Lib
_AVISaveOptions@20,AVIFIL32.dll,AVISaveOptions,Vfw32.Lib
_AVISaveOptions@20,AVIFIL32.dll,AVISaveOptions,avifil32.Lib
_AVISaveOptionsFree@8,AVIFIL32.dll,AVISaveOptionsFree,Vfw32.Lib
_AVISaveOptionsFree@8,AVIFIL32.dll,AVISaveOptionsFree,avifil32.Lib
_AVISaveV@24,AVIFIL32.dll,AVISaveV,Vfw32.Lib
_AVISaveV@24,AVIFIL32.dll,AVISaveV,avifil32.Lib
_AVISaveVA@24,AVIFIL32.dll,AVISaveVA,Vfw32.Lib
_AVISaveVA@24,AVIFIL32.dll,AVISaveVA,avifil32.Lib
_AVISaveVW@24,AVIFIL32.dll,AVISaveVW,Vfw32.Lib
_AVISaveVW@24,AVIFIL32.dll,AVISaveVW,avifil32.Lib
_AVISaveW,AVIFIL32.dll,AVISaveW,Vfw32.Lib
_AVISaveW,AVIFIL32.dll,AVISaveW,avifil32.Lib
_AVIStreamAddRef@4,AVIFIL32.dll,AVIStreamAddRef,Vfw32.Lib
_AVIStreamAddRef@4,AVIFIL32.dll,AVIStreamAddRef,avifil32.Lib
_AVIStreamBeginStreaming@16,AVIFIL32.dll,AVIStreamBeginStreaming,Vfw32.Lib
_AVIStreamBeginStreaming@16,AVIFIL32.dll,AVIStreamBeginStreaming,avifil32.Lib
_AVIStreamCreate@16,AVIFIL32.dll,AVIStreamCreate,Vfw32.Lib
_AVIStreamCreate@16,AVIFIL32.dll,AVIStreamCreate,avifil32.Lib
_AVIStreamEndStreaming@4,AVIFIL32.dll,AVIStreamEndStreaming,Vfw32.Lib
_AVIStreamEndStreaming@4,AVIFIL32.dll,AVIStreamEndStreaming,avifil32.Lib
_AVIStreamFindSample@12,AVIFIL32.dll,AVIStreamFindSample,Vfw32.Lib
_AVIStreamFindSample@12,AVIFIL32.dll,AVIStreamFindSample,avifil32.Lib
_AVIStreamGetFrame@8,AVIFIL32.dll,AVIStreamGetFrame,Vfw32.Lib
_AVIStreamGetFrame@8,AVIFIL32.dll,AVIStreamGetFrame,avifil32.Lib
_AVIStreamGetFrameClose@4,AVIFIL32.dll,AVIStreamGetFrameClose,Vfw32.Lib
_AVIStreamGetFrameClose@4,AVIFIL32.dll,AVIStreamGetFrameClose,avifil32.Lib
_AVIStreamGetFrameOpen@8,AVIFIL32.dll,AVIStreamGetFrameOpen,Vfw32.Lib
_AVIStreamGetFrameOpen@8,AVIFIL32.dll,AVIStreamGetFrameOpen,avifil32.Lib
_AVIStreamInfo@12,AVIFIL32.dll,AVIStreamInfo,Vfw32.Lib
_AVIStreamInfo@12,AVIFIL32.dll,AVIStreamInfo,avifil32.Lib
_AVIStreamInfoA@12,AVIFIL32.dll,AVIStreamInfoA,Vfw32.Lib
_AVIStreamInfoA@12,AVIFIL32.dll,AVIStreamInfoA,avifil32.Lib
_AVIStreamInfoW@12,AVIFIL32.dll,AVIStreamInfoW,Vfw32.Lib
_AVIStreamInfoW@12,AVIFIL32.dll,AVIStreamInfoW,avifil32.Lib
_AVIStreamLength@4,AVIFIL32.dll,AVIStreamLength,Vfw32.Lib
_AVIStreamLength@4,AVIFIL32.dll,AVIStreamLength,avifil32.Lib
_AVIStreamOpenFromFile@24,AVIFIL32.dll,AVIStreamOpenFromFile,Vfw32.Lib
_AVIStreamOpenFromFile@24,AVIFIL32.dll,AVIStreamOpenFromFile,avifil32.Lib
_AVIStreamOpenFromFileA@24,AVIFIL32.dll,AVIStreamOpenFromFileA,Vfw32.Lib
_AVIStreamOpenFromFileA@24,AVIFIL32.dll,AVIStreamOpenFromFileA,avifil32.Lib
_AVIStreamOpenFromFileW@24,AVIFIL32.dll,AVIStreamOpenFromFileW,Vfw32.Lib
_AVIStreamOpenFromFileW@24,AVIFIL32.dll,AVIStreamOpenFromFileW,avifil32.Lib
_AVIStreamRead@28,AVIFIL32.dll,AVIStreamRead,Vfw32.Lib
_AVIStreamRead@28,AVIFIL32.dll,AVIStreamRead,avifil32.Lib
_AVIStreamReadData@16,AVIFIL32.dll,AVIStreamReadData,Vfw32.Lib
_AVIStreamReadData@16,AVIFIL32.dll,AVIStreamReadData,avifil32.Lib
_AVIStreamReadFormat@16,AVIFIL32.dll,AVIStreamReadFormat,Vfw32.Lib
_AVIStreamReadFormat@16,AVIFIL32.dll,AVIStreamReadFormat,avifil32.Lib
_AVIStreamRelease@4,AVIFIL32.dll,AVIStreamRelease,Vfw32.Lib
_AVIStreamRelease@4,AVIFIL32.dll,AVIStreamRelease,avifil32.Lib
_AVIStreamSampleToTime@8,AVIFIL32.dll,AVIStreamSampleToTime,Vfw32.Lib
_AVIStreamSampleToTime@8,AVIFIL32.dll,AVIStreamSampleToTime,avifil32.Lib
_AVIStreamSetFormat@16,AVIFIL32.dll,AVIStreamSetFormat,Vfw32.Lib
_AVIStreamSetFormat@16,AVIFIL32.dll,AVIStreamSetFormat,avifil32.Lib
_AVIStreamStart@4,AVIFIL32.dll,AVIStreamStart,Vfw32.Lib
_AVIStreamStart@4,AVIFIL32.dll,AVIStreamStart,avifil32.Lib
_AVIStreamTimeToSample@8,AVIFIL32.dll,AVIStreamTimeToSample,Vfw32.Lib
_AVIStreamTimeToSample@8,AVIFIL32.dll,AVIStreamTimeToSample,avifil32.Lib
_AVIStreamWrite@32,AVIFIL32.dll,AVIStreamWrite,Vfw32.Lib
_AVIStreamWrite@32,AVIFIL32.dll,AVIStreamWrite,avifil32.Lib
_AVIStreamWriteData@16,AVIFIL32.dll,AVIStreamWriteData,Vfw32.Lib
_AVIStreamWriteData@16,AVIFIL32.dll,AVIStreamWriteData,avifil32.Lib
_AbortDoc@4,GDI32.dll,AbortDoc,Gdi32.Lib
_AbortPath@4,GDI32.dll,AbortPath,Gdi32.Lib
_AbortPrinter@4,SPOOLSS.DLL,AbortPrinter,spoolss.lib
_AbortPrinter@4,WINSPOOL.DRV,AbortPrinter,WinSpool.Lib
_AbortSystemShutdownA@4,ADVAPI32.dll,AbortSystemShutdownA,AdvAPI32.Lib
_AbortSystemShutdownW@4,ADVAPI32.dll,AbortSystemShutdownW,AdvAPI32.Lib
_AbortSystemShutdownW@4,api-ms-win-core-shutdown-l1-1-1.dll,AbortSystemShutdownW,mincore.lib
_AboutDlgProc@16,TWAIN_32.dll,4,twain_32.lib
_AccConvertAccessMaskToActrlAccess@16,NTMARTA.dll,AccConvertAccessMaskToActrlAccess,ntmarta.lib
_AccConvertAccessToSD@36,NTMARTA.dll,AccConvertAccessToSD,ntmarta.lib
_AccConvertAccessToSecurityDescriptor@20,NTMARTA.dll,AccConvertAccessToSecurityDescriptor,ntmarta.lib
_AccConvertAclToAccess@12,NTMARTA.dll,AccConvertAclToAccess,ntmarta.lib
_AccConvertSDToAccess@24,NTMARTA.dll,AccConvertSDToAccess,ntmarta.lib
_AccFreeIndexArray@12,NTMARTA.dll,AccFreeIndexArray,ntmarta.lib
_AccGetAccessForTrustee@24,NTMARTA.dll,AccGetAccessForTrustee,ntmarta.lib
_AccGetExplicitEntries@24,NTMARTA.dll,AccGetExplicitEntries,ntmarta.lib
_AccGetInheritanceSource@40,NTMARTA.dll,AccGetInheritanceSource,ntmarta.lib
_AccLookupAccountName@20,NTMARTA.dll,AccLookupAccountName,ntmarta.lib
_AccLookupAccountSid@16,NTMARTA.dll,AccLookupAccountSid,ntmarta.lib
_AccLookupAccountTrustee@12,NTMARTA.dll,AccLookupAccountTrustee,ntmarta.lib
_AccNotifyTouchInteraction@16,OLEACC.dll,AccNotifyTouchInteraction,OleAcc.Lib
_AccProvCancelOperation@4,NTMARTA.dll,AccProvCancelOperation,ntmarta.lib
_AccProvGetAccessInfoPerObjectType@32,NTMARTA.dll,AccProvGetAccessInfoPerObjectType,ntmarta.lib
_AccProvGetAllRights@28,NTMARTA.dll,AccProvGetAllRights,ntmarta.lib
_AccProvGetCapabilities@8,NTMARTA.dll,AccProvGetCapabilities,ntmarta.lib
_AccProvGetOperationResults@12,NTMARTA.dll,AccProvGetOperationResults,ntmarta.lib
_AccProvGetTrusteesAccess@16,NTMARTA.dll,AccProvGetTrusteesAccess,ntmarta.lib
_AccProvGrantAccessRights@20,NTMARTA.dll,AccProvGrantAccessRights,ntmarta.lib
_AccProvHandleGetAccessInfoPerObjectType@32,NTMARTA.dll,AccProvHandleGetAccessInfoPerObjectType,ntmarta.lib
_AccProvHandleGetAllRights@28,NTMARTA.dll,AccProvHandleGetAllRights,ntmarta.lib
_AccProvHandleGetTrusteesAccess@16,NTMARTA.dll,AccProvHandleGetTrusteesAccess,ntmarta.lib
_AccProvHandleIsAccessAudited@28,NTMARTA.dll,AccProvHandleIsAccessAudited,ntmarta.lib
_AccProvHandleIsObjectAccessible@8,NTMARTA.dll,AccProvHandleIsObjectAccessible,ntmarta.lib
_AccProvHandleRevokeAccessRights@24,NTMARTA.dll,AccProvHandleRevokeAccessRights,ntmarta.lib
_AccProvHandleRevokeAuditRights@24,NTMARTA.dll,AccProvHandleRevokeAuditRights,ntmarta.lib
_AccProvHandleSetAccessRights@32,NTMARTA.dll,AccProvHandleSetAccessRights,ntmarta.lib
_AccProvIsAccessAudited@28,NTMARTA.dll,AccProvIsAccessAudited,ntmarta.lib
_AccProvIsObjectAccessible@8,NTMARTA.dll,AccProvIsObjectAccessible,ntmarta.lib
_AccProvRevokeAccessRights@24,NTMARTA.dll,AccProvRevokeAccessRights,ntmarta.lib
_AccProvRevokeAuditRights@24,NTMARTA.dll,AccProvRevokeAuditRights,ntmarta.lib
_AccProvSetAccessRights@32,NTMARTA.dll,AccProvSetAccessRights,ntmarta.lib
