NTSTATUS,hex,DOS,code
STATUS_CALLBACK_RETURNED_PRI_BACK,0xC0000720,ERROR_INVALID_FUNCTION,1
STATUS_CALLBACK_RETURNED_THREAD_AFFINITY,0xC0000721,ERROR_INVALID_FUNCTION,1
STATUS_NO_SUCH_FILE,0xC000000F,ERROR_FILE_NOT_FOUND,2
STATUS_OBJECT_NAME_NOT_FOUND,0xC0000034,ERROR_FILE_NOT_FOUND,2
STATUS_OBJECTID_NOT_FOUND,0xC00002F0,ERROR_FILE_NOT_FOUND,2
STATUS_PNP_DRIVER_PACKAGE_NOT_FOUND,0xC0000491,ERROR_FILE_NOT_FOUND,2
STATUS_OBJECT_PATH_NOT_FOUND,0xC000003A,ERROR_PATH_NOT_FOUND,3
STATUS_DFS_EXIT_PATH_FOUND,0xC000009B,ERROR_PATH_NOT_FOUND,3
STATUS_REDIRECTOR_NOT_STARTED,0xC00000FB,ERROR_PATH_NOT_FOUND,3
STATUS_TOO_MANY_OPENED_FILES,0xC000011F,ERROR_TOO_MANY_OPEN_FILES,4
STATUS_INVALID_LOCK_SEQUENCE,0xC000001E,ERROR_ACCESS_DENIED,5
STATUS_INVALID_VIEW_SIZE,0xC000001F,ERROR_ACCESS_DENIED,5
STATUS_ALREADY_COMMITTED,0xC0000021,ERROR_ACCESS_DENIED,5
STATUS_ACCESS_DENIED,0xC0000022,ERROR_ACCESS_DENIED,5
STATUS_PORT_CONNECTION_REFUSED,0xC0000041,ERROR_ACCESS_DENIED,5
STATUS_THREAD_IS_TERMINATING,0xC000004B,ERROR_ACCESS_DENIED,5
STATUS_DELETE_PENDING,0xC0000056,ERROR_ACCESS_DENIED,5
STATUS_FILE_IS_A_DIRECTORY,0xC00000BA,ERROR_ACCESS_DENIED,5
STATUS_FILE_RENAMED,0xC00000D5,ERROR_ACCESS_DENIED,5
STATUS_PROCESS_IS_TERMINATING,0xC000010A,ERROR_ACCESS_DENIED,5
STATUS_CANNOT_DELETE,0xC0000121,ERROR_ACCESS_DENIED,5
STATUS_FILE_DELETED,0xC0000123,ERROR_ACCESS_DENIED,5
STATUS_ENCRYPTION_FAILED,0xC000028A,ERROR_ACCESS_DENIED,5
STATUS_DECRYPTION_FAILED,0xC000028B,ERROR_ACCESS_DENIED,5
STATUS_NO_RECOVERY_POLICY,0xC000028D,ERROR_ACCESS_DENIED,5
STATUS_NO_EFS,0xC000028E,ERROR_ACCESS_DENIED,5
STATUS_WRONG_EFS,0xC000028F,ERROR_ACCESS_DENIED,5
STATUS_NO_USER_KEYS,0xC0000290,ERROR_ACCESS_DENIED,5
STATUS_ENCLAVE_IS_TERMINATING,0xC0000512,ERROR_ACCESS_DENIED,5
STATUS_LPAC_ACCESS_DENIED,0xC000A203,ERROR_ACCESS_DENIED,5
STATUS_ADMINLESS_ACCESS_DENIED,0xC000A204,ERROR_ACCESS_DENIED,5
STATUS_CLUSTER_CAM_TICKET_REPLAY_DETECTED,0xC0130031,ERROR_ACCESS_DENIED,5
STATUS_INVALID_HANDLE,0xC0000008,ERROR_INVALID_HANDLE,6
STATUS_OBJECT_TYPE_MISMATCH,0xC0000024,ERROR_INVALID_HANDLE,6
STATUS_PORT_DISCONNECTED,0xC0000037,ERROR_INVALID_HANDLE,6
STATUS_INVALID_PORT_HANDLE,0xC0000042,ERROR_INVALID_HANDLE,6
STATUS_FILE_CLOSED,0xC0000128,ERROR_INVALID_HANDLE,6
STATUS_HANDLE_NOT_CLOSABLE,0xC0000235,ERROR_INVALID_HANDLE,6
STATUS_INVALID_SESSION,0xC0000455,ERROR_INVALID_HANDLE,6
STATUS_THREADPOOL_HANDLE_EXCEPTION,0xC000070A,ERROR_INVALID_HANDLE,6
STATUS_THREADPOOL_SET_EVENT_ON_COMPLETION_FAILED,0xC000070B,ERROR_INVALID_HANDLE,6
STATUS_THREADPOOL_RELEASE_SEMAPHORE_ON_COMPLETION_FAILED,0xC000070C,ERROR_INVALID_HANDLE,6
STATUS_THREADPOOL_RELEASE_MUTEX_ON_COMPLETION_FAILED,0xC000070D,ERROR_INVALID_HANDLE,6
STATUS_THREADPOOL_FREE_LIBRARY_ON_COMPLETION_FAILED,0xC000070E,ERROR_INVALID_HANDLE,6
STATUS_THREADPOOL_RELEASED_DURING_OPERATION,0xC000070F,ERROR_INVALID_HANDLE,6
STATUS_NO_MEMORY,0xC0000017,ERROR_NOT_ENOUGH_MEMORY,8
STATUS_SECTION_TOO_BIG,0xC0000040,ERROR_NOT_ENOUGH_MEMORY,8
STATUS_TOO_MANY_PAGING_FILES,0xC0000097,ERROR_NOT_ENOUGH_MEMORY,8
STATUS_FATAL_MEMORY_EXHAUSTION,0xC00001AD,ERROR_NOT_ENOUGH_MEMORY,8
STATUS_FAILED_STACK_SWITCH,0xC0000373,ERROR_NOT_ENOUGH_MEMORY,8
STATUS_INSUFFICIENT_RESOURCE_FOR_SPECIFIED_SHARED_SECTION_SIZE,0xC0000416,ERROR_NOT_ENOUGH_MEMORY,8
STATUS_IO_DEVICE_INVALID_DATA,0xC00001B0,ERROR_INVALID_DATA,13
STATUS_IO_UNALIGNED_WRITE,0xC00001B1,ERROR_INVALID_DATA,13
STATUS_SECTION_NOT_EXTENDED,0xC0000087,ERROR_OUTOFMEMORY,14
STATUS_NOT_SAME_DEVICE,0xC00000D4,ERROR_NOT_SAME_DEVICE,17
STATUS_NO_MORE_FILES,0x80000006,ERROR_NO_MORE_FILES,18
STATUS_MEDIA_WRITE_PROTECTED,0xC00000A2,ERROR_WRITE_PROTECT,19
STATUS_TOO_LATE,0xC0000189,ERROR_WRITE_PROTECT,19
STATUS_DEVICE_POWERED_OFF,0x8000000F,ERROR_NOT_READY,21
STATUS_DEVICE_OFF_LINE,0x80000010,ERROR_NOT_READY,21
STATUS_NO_MEDIA_IN_DEVICE,0xC0000013,ERROR_NOT_READY,21
STATUS_DEVICE_POWER_FAILURE,0xC000009E,ERROR_NOT_READY,21
STATUS_DEVICE_NOT_READY,0xC00000A3,ERROR_NOT_READY,21
STATUS_VOLUME_DISMOUNTED,0xC000026E,ERROR_NOT_READY,21
STATUS_POWER_STATE_INVALID,0xC00002D3,ERROR_NOT_READY,21
STATUS_PNP_DEVICE_CONFIGURATION_PENDING,0xC0000495,ERROR_NOT_READY,21
STATUS_CALLBACK_BYPASS,0xC0000503,ERROR_NOT_READY,21
STATUS_FWP_TCPIP_NOT_READY,0xC0220100,ERROR_NOT_READY,21
STATUS_INVALID_DEVICE_STATE,0xC0000184,ERROR_BAD_COMMAND,22
STATUS_DATA_ERROR,0xC000003E,ERROR_CRC,23
STATUS_CRC_ERROR,0xC000003F,ERROR_CRC,23
STATUS_DEVICE_DATA_ERROR,0xC000009C,ERROR_CRC,23
STATUS_AUTH_TAG_MISMATCH,0xC000A002,ERROR_CRC,23
STATUS_INFO_LENGTH_MISMATCH,0xC0000004,ERROR_BAD_LENGTH,24
STATUS_NONEXISTENT_SECTOR,0xC0000015,ERROR_SECTOR_NOT_FOUND,27
STATUS_DEVICE_PAPER_EMPTY,0x8000000E,ERROR_OUT_OF_PAPER,28
STATUS_RECOVERABLE_BUGCHECK,0x80000034,ERROR_GEN_FAILURE,31
STATUS_PTE_CHANGE_NOT_COMPLETED,0x80000035,ERROR_GEN_FAILURE,31
STATUS_UNSUCCESSFUL,0xC0000001,ERROR_GEN_FAILURE,31
STATUS_WIM_NOT_BOOTABLE,0xC0000487,ERROR_GEN_FAILURE,31
STATUS_EXECUTABLE_MEMORY_WRITE,0xC0000723,ERROR_GEN_FAILURE,31
STATUS_KERNEL_EXECUTABLE_MEMORY_WRITE,0xC0000724,ERROR_GEN_FAILURE,31
STATUS_ATTACHED_EXECUTABLE_MEMORY_WRITE,0xC0000725,ERROR_GEN_FAILURE,31
STATUS_TRIGGERED_EXECUTABLE_MEMORY_WRITE,0xC0000726,ERROR_GEN_FAILURE,31
STATUS_SHARING_VIOLATION,0xC0000043,ERROR_SHARING_VIOLATION,32
STATUS_FILE_NOT_AVAILABLE,0xC0000467,ERROR_SHARING_VIOLATION,32
STATUS_RKF_FILE_BLOCKED,0xC0400005,ERROR_SHARING_VIOLATION,32
STATUS_FILE_LOCK_CONFLICT,0xC0000054,ERROR_LOCK_VIOLATION,33
STATUS_LOCK_NOT_GRANTED,0xC0000055,ERROR_LOCK_VIOLATION,33
STATUS_PATCH_CONFLICT,0xC00004AC,ERROR_LOCK_VIOLATION,33
STATUS_WRONG_VOLUME,0xC0000012,ERROR_WRONG_DISK,34
STATUS_END_OF_FILE,0xC0000011,ERROR_HANDLE_EOF,38
STATUS_FILE_FORCED_CLOSED,0xC00000B6,ERROR_HANDLE_EOF,38
STATUS_CTL_FILE_NOT_SUPPORTED,0xC0000057,ERROR_NOT_SUPPORTED,50
STATUS_NOT_SUPPORTED,0xC00000BB,ERROR_NOT_SUPPORTED,50
STATUS_QUOTA_NOT_ENABLED,0xC00001A9,ERROR_NOT_SUPPORTED,50
STATUS_NOT_SERVER_SESSION,0xC0000216,ERROR_NOT_SUPPORTED,50
STATUS_NOT_CLIENT_SESSION,0xC0000217,ERROR_NOT_SUPPORTED,50
STATUS_WMI_NOT_SUPPORTED,0xC00002DD,ERROR_NOT_SUPPORTED,50
STATUS_RECURSIVE_DISPATCH,0xC0000704,ERROR_NOT_SUPPORTED,50
STATUS_LPC_REQUESTS_NOT_ALLOWED,0xC0000707,ERROR_NOT_SUPPORTED,50
STATUS_EOF_ON_GHOSTED_RANGE,0xC000A007,ERROR_NOT_SUPPORTED,50
STATUS_PROTOCOL_NOT_SUPPORTED,0xC000A013,ERROR_NOT_SUPPORTED,50
STATUS_CLUSTER_CSV_REDIRECTED,0xC0130022,ERROR_NOT_SUPPORTED,50
STATUS_CLUSTER_CSV_NOT_REDIRECTED,0xC0130023,ERROR_NOT_SUPPORTED,50
STATUS_CLUSTER_CSV_VOLUME_DRAINING,0xC0130024,ERROR_NOT_SUPPORTED,50
STATUS_CLUSTER_CSV_VOLUME_DRAINING_SUCCEEDED_DOWNLEVEL,0xC0130026,ERROR_NOT_SUPPORTED,50
STATUS_REMOTE_NOT_LISTENING,0xC00000BC,ERROR_REM_NOT_LIST,51
STATUS_REMOTE_RESOURCES,0xC000013D,ERROR_REM_NOT_LIST,51
STATUS_DUPLICATE_NAME,0xC00000BD,ERROR_DUP_NAME,52
STATUS_ADDRESS_ALREADY_EXISTS,0xC000020A,ERROR_DUP_NAME,52
STATUS_BAD_NETWORK_PATH,0xC00000BE,ERROR_BAD_NETPATH,53
STATUS_NETWORK_BUSY,0xC00000BF,ERROR_NETWORK_BUSY,54
STATUS_DEVICE_DOES_NOT_EXIST,0xC00000C0,ERROR_DEV_NOT_EXIST,55
STATUS_TOO_MANY_COMMANDS,0xC00000C1,ERROR_TOO_MANY_CMDS,56
STATUS_ADAPTER_HARDWARE_ERROR,0xC00000C2,ERROR_ADAP_HDW_ERR,57
STATUS_INVALID_NETWORK_RESPONSE,0xC00000C3,ERROR_BAD_NET_RESP,58
STATUS_UNEXPECTED_NETWORK_ERROR,0xC00000C4,ERROR_UNEXP_NET_ERR,59
STATUS_LINK_FAILED,0xC000013E,ERROR_UNEXP_NET_ERR,59
STATUS_LINK_TIMEOUT,0xC000013F,ERROR_UNEXP_NET_ERR,59
STATUS_INVALID_CONNECTION,0xC0000140,ERROR_UNEXP_NET_ERR,59
STATUS_INVALID_ADDRESS,0xC0000141,ERROR_UNEXP_NET_ERR,59
STATUS_USER_SESSION_DELETED,0xC0000203,ERROR_UNEXP_NET_ERR,59
STATUS_TRANSACTION_ABORTED,0xC000020F,ERROR_UNEXP_NET_ERR,59
STATUS_TRANSACTION_TIMED_OUT,0xC0000210,ERROR_UNEXP_NET_ERR,59
STATUS_TRANSACTION_NO_RELEASE,0xC0000211,ERROR_UNEXP_NET_ERR,59
STATUS_TRANSACTION_NO_MATCH,0xC0000212,ERROR_UNEXP_NET_ERR,59
STATUS_TRANSACTION_RESPONDED,0xC0000213,ERROR_UNEXP_NET_ERR,59
STATUS_TRANSACTION_INVALID_ID,0xC0000214,ERROR_UNEXP_NET_ERR,59
STATUS_TRANSACTION_INVALID_TYPE,0xC0000215,ERROR_UNEXP_NET_ERR,59
STATUS_BAD_REMOTE_ADAPTER,0xC00000C5,ERROR_BAD_REM_ADAP,60
STATUS_PRINT_QUEUE_FULL,0xC00000C6,ERROR_PRINTQ_FULL,61
STATUS_NO_SPOOL_SPACE,0xC00000C7,ERROR_NO_SPOOL_SPACE,62
STATUS_PRINT_CANCELLED,0xC00000C8,ERROR_PRINT_CANCELLED,63
STATUS_NETWORK_NAME_DELETED,0xC00000C9,ERROR_NETNAME_DELETED,64
STATUS_LOCAL_DISCONNECT,0xC000013B,ERROR_NETNAME_DELETED,64
STATUS_REMOTE_DISCONNECT,0xC000013C,ERROR_NETNAME_DELETED,64
STATUS_ADDRESS_CLOSED,0xC000020B,ERROR_NETNAME_DELETED,64
STATUS_CONNECTION_DISCONNECTED,0xC000020C,ERROR_NETNAME_DELETED,64
STATUS_CONNECTION_RESET,0xC000020D,ERROR_NETNAME_DELETED,64
STATUS_SERVER_UNAVAILABLE,0xC0000466,ERROR_NETNAME_DELETED,64
STATUS_SHARE_UNAVAILABLE,0xC0000480,ERROR_NETNAME_DELETED,64
STATUS_NETWORK_ACCESS_DENIED,0xC00000CA,ERROR_NETWORK_ACCESS_DENIED,65
STATUS_NETWORK_OPEN_RESTRICTION,0xC0000201,ERROR_NETWORK_ACCESS_DENIED,65
STATUS_BAD_DEVICE_TYPE,0xC00000CB,ERROR_BAD_DEV_TYPE,66
STATUS_BAD_NETWORK_NAME,0xC00000CC,ERROR_BAD_NET_NAME,67
STATUS_TOO_MANY_GUIDS_REQUESTED,0xC0000082,ERROR_TOO_MANY_NAMES,68
STATUS_TOO_MANY_NAMES,0xC00000CD,ERROR_TOO_MANY_NAMES,68
STATUS_TOO_MANY_ADDRESSES,0xC0000209,ERROR_TOO_MANY_NAMES,68
STATUS_TOO_MANY_NODES,0xC000020E,ERROR_TOO_MANY_NAMES,68
STATUS_TOO_MANY_SESSIONS,0xC00000CE,ERROR_TOO_MANY_SESS,69
STATUS_SHARING_PAUSED,0xC00000CF,ERROR_SHARING_PAUSED,70
STATUS_REQUEST_NOT_ACCEPTED,0xC00000D0,ERROR_REQ_NOT_ACCEP,71
STATUS_REDIRECTOR_PAUSED,0xC00000D1,ERROR_REDIR_PAUSED,72
STATUS_CANNOT_MAKE,0xC00002EA,ERROR_CANNOT_MAKE,82
STATUS_WRONG_PASSWORD,0xC000006A,ERROR_INVALID_PASSWORD,86
STATUS_WRONG_PASSWORD_CORE,0xC0000149,ERROR_INVALID_PASSWORD,86
STATUS_WORKING_SET_LIMIT_RANGE,0x40000002,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_INFO_CLASS,0xC0000003,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_CID,0xC000000B,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER,0xC000000D,ERROR_INVALID_PARAMETER,87
STATUS_UNABLE_TO_FREE_VM,0xC000001A,ERROR_INVALID_PARAMETER,87
STATUS_UNABLE_TO_DELETE_SECTION,0xC000001B,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER_MIX,0xC0000030,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PAGE_PROTECTION,0xC0000045,ERROR_INVALID_PARAMETER,87
STATUS_PORT_ALREADY_SET,0xC0000048,ERROR_INVALID_PARAMETER,87
STATUS_SECTION_NOT_IMAGE,0xC0000049,ERROR_INVALID_PARAMETER,87
STATUS_BAD_WORKING_SET_LIMIT,0xC000004C,ERROR_INVALID_PARAMETER,87
STATUS_INCOMPATIBLE_FILE_MAP,0xC000004D,ERROR_INVALID_PARAMETER,87
STATUS_SECTION_PROTECTION,0xC000004E,ERROR_INVALID_PARAMETER,87
STATUS_BAD_MASTER_BOOT_RECORD,0xC00000A9,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER_1,0xC00000EF,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER_2,0xC00000F0,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER_3,0xC00000F1,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER_4,0xC00000F2,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER_5,0xC00000F3,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER_6,0xC00000F4,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER_7,0xC00000F5,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER_8,0xC00000F6,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER_9,0xC00000F7,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER_10,0xC00000F8,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER_11,0xC00000F9,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_PARAMETER_12,0xC00000FA,ERROR_INVALID_PARAMETER,87
STATUS_DEVICE_CONFIGURATION_ERROR,0xC0000182,ERROR_INVALID_PARAMETER,87
STATUS_FAIL_CHECK,0xC0000229,ERROR_INVALID_PARAMETER,87
STATUS_THREAD_ALREADY_IN_SESSION,0xC0000456,ERROR_INVALID_PARAMETER,87
STATUS_THREAD_NOT_IN_SESSION,0xC0000457,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_WEIGHT,0xC0000458,ERROR_INVALID_PARAMETER,87
STATUS_THREAD_NOT_RUNNING,0xC0000516,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_MESSAGE,0xC0000702,ERROR_INVALID_PARAMETER,87
STATUS_LPC_RECEIVE_BUFFER_EXPECTED,0xC0000705,ERROR_INVALID_PARAMETER,87
STATUS_LPC_INVALID_CONNECTION_USAGE,0xC0000706,ERROR_INVALID_PARAMETER,87
STATUS_INVALID_THREAD,0xC000071C,ERROR_INVALID_PARAMETER,87
STATUS_RTPM_NO_RESULT,0xC0293002,ERROR_INVALID_PARAMETER,87
STATUS_RTPM_INVALID_CONTEXT,0xC0293004,ERROR_INVALID_PARAMETER,87
STATUS_RKF_KEY_NOT_FOUND,0xC0400001,ERROR_INVALID_PARAMETER,87
STATUS_RKF_DUPLICATE_KEY,0xC0400002,ERROR_INVALID_PARAMETER,87
STATUS_RKF_ACTIVE_KEY,0xC0400006,ERROR_INVALID_PARAMETER,87
STATUS_NET_WRITE_FAULT,0xC00000D2,ERROR_NET_WRITE_FAULT,88
STATUS_PIPE_BROKEN,0xC000014B,ERROR_BROKEN_PIPE,109
STATUS_DISK_FULL,0xC000007F,ERROR_DISK_FULL,112
STATUS_IO_TIMEOUT,0xC00000B5,ERROR_SEM_TIMEOUT,121
STATUS_FLT_BUFFER_TOO_SMALL,0x801C0001,ERROR_INSUFFICIENT_BUFFER,122
STATUS_BUFFER_TOO_SMALL,0xC0000023,ERROR_INSUFFICIENT_BUFFER,122
STATUS_OBJECT_NAME_INVALID,0xC0000033,ERROR_INVALID_NAME,123
STATUS_INVALID_IDN_NORMALIZATION,0xC0000716,ERROR_INVALID_NAME,123
STATUS_INVALID_LEVEL,0xC0000148,ERROR_INVALID_LEVEL,124
STATUS_DLL_NOT_FOUND,0xC0000135,ERROR_MOD_NOT_FOUND,126
STATUS_APISET_NOT_HOSTED,0xC0000481,ERROR_MOD_NOT_FOUND,126
STATUS_APISET_NOT_PRESENT,0xC0000482,ERROR_MOD_NOT_FOUND,126
STATUS_PROCEDURE_NOT_FOUND,0xC000007A,ERROR_PROC_NOT_FOUND,127
STATUS_ENTRYPOINT_NOT_FOUND,0xC0000139,ERROR_PROC_NOT_FOUND,127
STATUS_DRIVER_ENTRYPOINT_NOT_FOUND,0xC0000263,ERROR_PROC_NOT_FOUND,127
STATUS_DIRECTORY_NOT_EMPTY,0xC0000101,ERROR_DIR_NOT_EMPTY,145
STATUS_INVALID_VOLUME_LABEL,0xC0000086,ERROR_LABEL_TOO_LONG,154
STATUS_SUSPEND_COUNT_EXCEEDED,0xC000004A,ERROR_SIGNAL_REFUSED,156
STATUS_NOT_LOCKED,0xC000002A,ERROR_NOT_LOCKED,158
STATUS_RANGE_NOT_LOCKED,0xC000007E,ERROR_NOT_LOCKED,158
STATUS_OBJECT_PATH_INVALID,0xC0000039,ERROR_BAD_PATHNAME,161
STATUS_OBJECT_PATH_SYNTAX_BAD,0xC000003B,ERROR_BAD_PATHNAME,161
STATUS_DIRECTORY_IS_A_REPARSE_POINT,0xC0000281,ERROR_BAD_PATHNAME,161
STATUS_DEVICE_BUSY,0x80000011,ERROR_BUSY,170
STATUS_ENCOUNTERED_WRITE_IN_PROGRESS,0xC0000433,ERROR_BUSY,170
STATUS_PTE_CHANGED,0xC0000434,ERROR_BUSY,170
STATUS_DEVICE_HUNG,0xC0000507,ERROR_BUSY,170
STATUS_DEVICE_SUPPORT_IN_PROGRESS,0x80000030,ERROR_DEVICE_SUPPORT_IN_PROGRESS,171
STATUS_ORDINAL_NOT_FOUND,0xC0000138,ERROR_INVALID_ORDINAL,182
STATUS_DRIVER_ORDINAL_NOT_FOUND,0xC0000262,ERROR_INVALID_ORDINAL,182
STATUS_OBJECT_NAME_COLLISION,0xC0000035,ERROR_ALREADY_EXISTS,183
STATUS_BAD_INITIAL_PC,0xC000000A,ERROR_BAD_EXE_FORMAT,193
STATUS_INVALID_FILE_FOR_SECTION,0xC0000020,ERROR_BAD_EXE_FORMAT,193
STATUS_INVALID_IMAGE_FORMAT,0xC000007B,ERROR_BAD_EXE_FORMAT,193
STATUS_INVALID_IMAGE_NE_FORMAT,0xC000011B,ERROR_BAD_EXE_FORMAT,193
STATUS_INVALID_IMAGE_LE_FORMAT,0xC000012E,ERROR_BAD_EXE_FORMAT,193
STATUS_INVALID_IMAGE_NOT_MZ,0xC000012F,ERROR_BAD_EXE_FORMAT,193
STATUS_INVALID_IMAGE_PROTECT,0xC0000130,ERROR_BAD_EXE_FORMAT,193
STATUS_INVALID_IMAGE_WIN_16,0xC0000131,ERROR_BAD_EXE_FORMAT,193
STATUS_IMAGE_CHECKSUM_MISMATCH,0xC0000221,ERROR_BAD_EXE_FORMAT,193
STATUS_IMAGE_MP_UP_MISMATCH,0xC0000249,ERROR_BAD_EXE_FORMAT,193
STATUS_INVALID_IMAGE_WIN_32,0xC0000359,ERROR_BAD_EXE_FORMAT,193
STATUS_INVALID_IMAGE_WIN_64,0xC000035A,ERROR_BAD_EXE_FORMAT,193
STATUS_VARIABLE_NOT_FOUND,0xC0000100,ERROR_ENVVAR_NOT_FOUND,203
STATUS_NAME_TOO_LONG,0xC0000106,ERROR_FILENAME_EXCED_RANGE,206
STATUS_FILE_CHECKED_OUT,0xC0000901,ERROR_FILE_CHECKED_OUT,220
STATUS_CHECKOUT_REQUIRED,0xC0000902,ERROR_CHECKOUT_REQUIRED,221
STATUS_BAD_FILE_TYPE,0xC0000903,ERROR_BAD_FILE_TYPE,222
STATUS_FILE_TOO_LARGE,0xC0000904,ERROR_FILE_TOO_LARGE,223
STATUS_FORMS_AUTH_REQUIRED,0xC0000905,ERROR_FORMS_AUTH_REQUIRED,224
STATUS_VIRUS_INFECTED,0xC0000906,ERROR_VIRUS_INFECTED,225
STATUS_VIRUS_DELETED,0xC0000907,ERROR_VIRUS_DELETED,226
STATUS_INVALID_PIPE_STATE,0xC00000AD,ERROR_BAD_PIPE,230
STATUS_INVALID_READ_MODE,0xC00000B4,ERROR_BAD_PIPE,230
STATUS_INSTANCE_NOT_AVAILABLE,0xC00000AB,ERROR_PIPE_BUSY,231
STATUS_PIPE_NOT_AVAILABLE,0xC00000AC,ERROR_PIPE_BUSY,231
STATUS_PIPE_BUSY,0xC00000AE,ERROR_PIPE_BUSY,231
STATUS_PIPE_CLOSING,0xC00000B1,ERROR_NO_DATA,232
STATUS_PIPE_EMPTY,0xC00000D9,ERROR_NO_DATA,232
